timestamp,generation,hour,day,weekday,month,anomaly_iforest
2024-03-17 23:00:00,10942,23,17,Sunday,March,False
2024-03-17 22:00:00,11846,22,17,Sunday,March,False
2024-03-17 21:00:00,11972,21,17,Sunday,March,False
2024-03-17 20:00:00,11897,20,17,Sunday,March,False
2024-03-17 19:00:00,12608,19,17,Sunday,March,False
2024-03-17 18:00:00,12576,18,17,Sunday,March,False
2024-03-17 17:00:00,10039,17,17,Sunday,March,False
2024-03-17 16:00:00,2913,16,17,Sunday,March,False
2024-03-17 15:00:00,211,15,17,Sunday,March,False
2024-03-17 14:00:00,30,14,17,Sunday,March,False
2024-03-17 13:00:00,69,13,17,Sunday,March,False
2024-03-17 12:00:00,89,12,17,Sunday,March,False
2024-03-17 11:00:00,119,11,17,Sunday,March,False
2024-03-17 10:00:00,110,10,17,Sunday,March,False
2024-03-17 09:00:00,113,9,17,Sunday,March,False
2024-03-17 08:00:00,129,8,17,Sunday,March,False
2024-03-17 07:00:00,122,7,17,Sunday,March,False
2024-03-17 06:00:00,145,6,17,Sunday,March,False
2024-03-17 05:00:00,136,5,17,Sunday,March,False
2024-03-17 04:00:00,95,4,17,Sunday,March,False
2024-03-17 03:00:00,1453,3,17,Sunday,March,False
2024-03-17 02:00:00,5211,2,17,Sunday,March,False
2024-03-17 01:00:00,7238,1,17,Sunday,March,False
2024-03-17 00:00:00,8484,0,17,Sunday,March,False
2024-03-16 23:00:00,9353,23,16,Saturday,March,False
2024-03-16 22:00:00,10403,22,16,Saturday,March,False
2024-03-16 21:00:00,11613,21,16,Saturday,March,False
2024-03-16 20:00:00,12469,20,16,Saturday,March,False
2024-03-16 19:00:00,12567,19,16,Saturday,March,False
2024-03-16 18:00:00,11287,18,16,Saturday,March,False
2024-03-16 17:00:00,7923,17,16,Saturday,March,False
2024-03-16 16:00:00,1682,16,16,Saturday,March,False
2024-03-16 15:00:00,62,15,16,Saturday,March,False
2024-03-16 08:00:00,9,8,16,Saturday,March,False
2024-03-16 07:00:00,7,7,16,Saturday,March,False
2024-03-16 03:00:00,1041,3,16,Saturday,March,False
