period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-03-15T11,CAL,California,SUN,Solar,78,megawatthours
2024-03-15T10,CAL,California,SUN,Solar,68,megawatthours
2024-03-15T09,CAL,California,SUN,Solar,61,megawatthours
2024-03-15T08,CAL,California,SUN,Solar,49,megawatthours
2024-03-15T07,CAL,California,SUN,Solar,43,megawatthours
2024-03-15T06,CAL,California,SUN,Solar,51,megawatthours
2024-03-15T05,CAL,California,SUN,Solar,59,megawatthours
2024-03-15T04,CAL,California,SUN,Solar,66,megawatthours
2024-03-15T03,CAL,California,SUN,Solar,1623,megawatthours
2024-03-15T02,CAL,California,SUN,Solar,7296,megawatthours
2024-03-15T01,CAL,California,SUN,Solar,10446,megawatthours
2024-03-15T00,CAL,California,SUN,Solar,12007,megawatthours
2024-03-14T23,CAL,California,SUN,Solar,12307,megawatthours
2024-03-14T22,CAL,California,SUN,Solar,12570,megawatthours
2024-03-14T21,CAL,California,SUN,Solar,12642,megawatthours
2024-03-14T20,CAL,California,SUN,Solar,12713,megawatthours
2024-03-14T19,CAL,California,SUN,Solar,12161,megawatthours
2024-03-14T18,CAL,California,SUN,Solar,11574,megawatthours
2024-03-14T17,CAL,California,SUN,Solar,8191,megawatthours
2024-03-14T16,CAL,California,SUN,Solar,1732,megawatthours
2024-03-14T15,CAL,California,SUN,Solar,181,megawatthours
2024-03-14T14,CAL,California,SUN,Solar,72,megawatthours
2024-03-14T13,CAL,California,SUN,Solar,80,megawatthours
2024-03-14T12,CAL,California,SUN,Solar,76,megawatthours
2024-03-14T11,CAL,California,SUN,Solar,75,megawatthours
2024-03-14T10,CAL,California,SUN,Solar,76,megawatthours
2024-03-14T09,CAL,California,SUN,Solar,77,megawatthours
2024-03-14T08,CAL,California,SUN,Solar,84,megawatthours
2024-03-14T07,CAL,California,SUN,Solar,87,megawatthours
2024-03-14T06,CAL,California,SUN,Solar,79,megawatthours
2024-03-14T05,CAL,California,SUN,Solar,78,megawatthours
2024-03-14T04,CAL,California,SUN,Solar,51,megawatthours
2024-03-14T03,CAL,California,SUN,Solar,1727,megawatthours
2024-03-14T02,CAL,California,SUN,Solar,8030,megawatthours
2024-03-14T01,CAL,California,SUN,Solar,10923,megawatthours
2024-03-14T00,CAL,California,SUN,Solar,13007,megawatthours
2024-03-13T23,CAL,California,SUN,Solar,13471,megawatthours
2024-03-13T22,CAL,California,SUN,Solar,13874,megawatthours
2024-03-13T21,CAL,California,SUN,Solar,13657,megawatthours
2024-03-13T20,CAL,California,SUN,Solar,13654,megawatthours
2024-03-13T19,CAL,California,SUN,Solar,13040,megawatthours
2024-03-13T18,CAL,California,SUN,Solar,12497,megawatthours
2024-03-13T17,CAL,California,SUN,Solar,8652,megawatthours
2024-03-13T16,CAL,California,SUN,Solar,2512,megawatthours
2024-03-13T15,CAL,California,SUN,Solar,149,megawatthours
2024-03-13T14,CAL,California,SUN,Solar,-25,megawatthours
2024-03-13T13,CAL,California,SUN,Solar,-18,megawatthours
2024-03-13T12,CAL,California,SUN,Solar,0,megawatthours
2024-03-13T11,CAL,California,SUN,Solar,2,megawatthours
